"","correctedCR","CR"
"17","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER BS HALL-HOLT O WARD MD DATA SCIENCE IN STATISTICS CURRICULA  PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 PP 343-353 2015"
"18","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER B HALL-HOLT O MURRELL P PENG R ROBACK P TEMPLE LANG D WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015","HARDIN J HOERL R HORTON NJ NOLAN D BAUMER BS HALL-HOLT O WARD MD DATA SCIENCE IN STATISTICS CURRICULA PREPARING STUDENTS TO THINK WITH DATA THE AMERICAN STATISTICIAN 69 4 PP 343-353 2015"
"19","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 PP 745-766 2017"
"20","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 PP 745-766 2017"
"21","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPH STAT 26 4 PP 745-766 2017"
"22","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE J COMPUT GRAPHICAL STATIST 26 4 PP 745-766 2017"
"23","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017","DONOHO D 50 YEARS OF DATA SCIENCE JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS 26 4 PP 745-766 2017"
"24","FINZER W THE DATA SCIENCE EDUCATION DILEMMA TECHNOLOGY INNOVATIONS IN STATISTICS EDUCATION 7 2 2013","FINZER W THE DATA SCIENCE EDUCATION DILEMMA TECHNOLOGY INNOVATIONS IN STATISTICS EDUCATION 7 PP 1-10 2013"
"25","FINZER W THE DATA SCIENCE EDUCATION DILEMMA TECHNOLOGY INNOVATIONS IN STATISTICS EDUCATION 7 2 2013","FINZER W THE DATA SCIENCE EDUCATION DILEMMA 2013"
"26","FINZER W THE DATA SCIENCE EDUCATION DILEMMA TECHNOLOGY INNOVATIONS IN STATISTICS EDUCATION 7 2 2013","FINZER W THE DATA SCIENCE EDUCATION DILEMMA TECHNOLOGY INNOVATIONS IN STATISTICS EDUCATION 7 PP 1-10 2013 "
"27","NOLAN D TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULA THE AMERICAN STATISTICIAN 64 PP 97-107 2010","NOLAN D TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULA AM STAT 64 2 PP 97-107 2010"
"28","NOLAN D TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULA THE AMERICAN STATISTICIAN 64 PP 97-107 2010","NOLAN D 2010 AM STAT V64 P97 DOI 101198/TAST201009132"
"29","NOLAN D TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULA THE AMERICAN STATISTICIAN 64 PP 97-107 2010","NOLAN D LANG DT COMPUTING IN THE STATISTICS CURRICULA THE AMERICAN STATISTICIAN 64 PP 97-107 2010"
"30","NOLAN D TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULA THE AMERICAN STATISTICIAN 64 PP 97-107 2010","NOLAN DA TEMPLE LANG D COMPUTING IN THE STATISTICS CURRICULUM THE AMERICAN STATISTICIAN 64 PP 97-107 2010"
"31","WILKERSON MH POLMAN JL SITUATING DATA SCIENCE EXPLORING HOW RELATIONSHIPS TO DATA SHAPE LEARNING JOURNAL OF THE LEARNING SCIENCES 29 1 PP 1-10 2020","WILKERSON M H POLMAN J L SITUATING DATA SCIENCE EXPLORING HOW RELATIONSHIPS TO DATA SHAPE LEARNING JOURNAL OF THE LEARNING SCIENCES 29 1 PP 1-10 2020"
"32","WILKERSON MH POLMAN JL SITUATING DATA SCIENCE EXPLORING HOW RELATIONSHIPS TO DATA SHAPE LEARNING JOURNAL OF THE LEARNING SCIENCES 29 1 PP 1-10 2020","WILKERSON MH 2020 J LEARN SCI V29 P1 DOI 101080/1050840620191705664"
"33","VANCE E A SMITH H S THE ASCCR FRAME FOR LEARNING ESSENTIAL COLLABORATION SKILLS JOURNAL OF STATISTICS EDUCATION 27 3 PP 265-274 2019","VANCE E A SMITH H S THE ASCCR FRAME FOR LEARNING ESSENTIAL COLLABORATION SKILLS 2019"
"36","DANYLUK A LEIDIG P CASSEL L SERVIN C ACM TASK FORCE ON DATA SCIENCE EDUCATION DRAFT REPORT AND OPPORTUNITY FOR FEEDBACK PROCEEDINGS OF THE 50TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 496-497 2019","DANYLUK A LEIDIG P CASSEL L SERVIN C ACM TASK FORCE ON DATA SCIENCE DRAFT REPORT AND OPPORTUNITY FOR FEEDBACK PROCEEDINGS OF THE 50TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION SIGCSE19 2019"
"37","DANYLUK A LEIDIG P CASSEL L SERVIN C ACM TASK FORCE ON DATA SCIENCE EDUCATION DRAFT REPORT AND OPPORTUNITY FOR FEEDBACK PROCEEDINGS OF THE 50TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 496-497 2019","DANYLUK A LEIDIG P CASSEL L SERVIN C ACM TASK FORCE ON DATA SCIENCE DRAFT REPORT AND OPPORTUNITY FOR FEEDBACK PROCEEDINGS OF THE 50TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION SIGCSE 19 2019"
"38","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R D AGARWAL M AVERETT M BAUMER B S BRAY A BRESSOUD T C BRYANT L CHENG L Z FRANCIS A GOULD R KIM A Y KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI R J SONDJAJA M YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017"
"39","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R D AGARWAL M AVERETT M BAUMER B S BRAY A BRESSOUD T C BRYANT L CHENG L Z FRANCIS A GOULD R KIM A Y KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI R J SONDJAJA M YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"40","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N UHLIG PX WASHINGTON TM WESLEY CL WHITE D YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017"
"41","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R AGARWAL M AVERETT M BAUMER B BRAY A BRESSOUD T BRYANT L CHENG L FRANCIS A GOULD R KIM A KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI R SONDJAJA M CURRICULUM GUIDLINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT 2017"
"42","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R AGARWAL M AVERETT M BAUMER B BRAY A BRESSOUD T BRYANT L CHENG L FRANCIS A GOULD R KIM A KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI R SONDJAJA M TIRUVILUAMALA N UHLIG P WASHINGTON T WESLEY C WHITE D YE P CURRICULUM GUIDELINES FORUNDERGRADUATE PROGRAMS IN DATA SCIENCE THE ANNUAL REVIEW OFSTATISTICS AND ITS APPLICATION 2017"
"43","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N UHLIG PX WASHINGTON TM WESLEY CL WHITE D YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"44","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N UHLIG PX WASHINGTON TM WESLEY CL WHITE D YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE THE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 21-216 2017"
"45","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE IN ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"46","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"47","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT APPL 4 PP 15-30 2017"
"48","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS 2016"
"49","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R D AGARWAL M AVERETT M BAUMER B S BRAY A ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANN REV STATIST APPL 4 PP 15-30 2017"
"50","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R D ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"51","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R AGARWAL M AVERETT M BAUMER B BRAY A BRESSOUD T BRYANT L CHENG L FRANCIS A GOULD R KIM A KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI R SONDJAJA M TIRUVILUAMALA N UHLIG P WASHINGTON T WESLEY C WHITE D YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"52","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX R AGARWAL M AVERETT M BAUMER B BRAY A BRESSOUD T BRYANT L ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATIONS 4 PP 15-30 2017"
